,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
1729,Mercedes-Benz,G-Class,Mercedes-Benz G-Class,G 63 AMG,340.0,2020-06-01,6,2020,13000.0,Petrol,17.76,Automatic,Grey,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
1572,BMW,5-Series,BMW 5-Series,520d Luxury Line [2017-2019],62.0,2021-04-01,4,2021,8500.0,Diesel,22.48,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.9
383,Hyundai,Eon,Hyundai Eon,Magna + AirBag,3.8,2017-06-01,6,2017,49229.0,Petrol,21.1,Manual,Silver,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
2084,Renault,Duster,Renault Duster,85 PS RxL,7.45,2015-06-01,6,2015,42855.0,Diesel,19.87,Manual,Brown,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
723,Renault,Duster,Renault Duster,85 PS RXS 4X2 MT Diesel,10.25,2018-06-01,6,2018,39030.0,Diesel,19.87,Manual,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
5158,Renault,Duster,Renault Duster,110 PS RxL Diesel,3.55,2013-06-01,6,2013,8700.0,Diesel,19.01,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3150,Honda,WR-V,Honda WR-V,VX MT Diesel,8.37,2018-05-01,5,2018,56124.0,Diesel,25.5,Manual,Maroon,Second,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1421,Toyota,Innova,Toyota Innova,2.5 G 7 STR BS-IV,8.75,2013-06-01,6,2013,123000.0,Diesel,15.0,Manual,White,First,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
2540,Hyundai,Creta,Hyundai Creta,SX 1.6 AT Petrol,13.85,2019-02-01,2,2019,39513.0,Petrol,15.29,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
4207,BMW,5-Series,BMW 5-Series,520d Luxury Line [2017-2019],49.75,2018-06-01,6,2018,25030.0,Diesel,22.48,Automatic,Grey,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
3118,MarutiSuzuki,Eeco,MarutiSuzuki Eeco,7 STR [2019-2020],3.96,2018-05-01,5,2018,40023.0,Petrol,16.2,Manual,Grey,Second,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
4556,Hyundai,i20 Active,Hyundai i20 Active,1.4 SX,5.7,2015-06-01,6,2015,61000.0,Diesel,21.19,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
979,Honda,Jazz,Honda Jazz,X,3.6,2012-05-01,5,2012,49594.0,Petrol,16.7,Manual,Red,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1252,MarutiSuzuki,Alto 800,MarutiSuzuki Alto 800,Lxi,2.95,2016-06-01,6,2016,130000.0,Petrol,22.74,Manual,White,First,4.5,4.5,5.0,5.0,3.9,5.0,5.0,4.7,2.3
4904,LandRover,Evoque,LandRover Evoque,Dynamic SD4,26.5,2015-06-01,6,2015,50000.0,Diesel,13.32,Automatic,White,Second,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
315,Tata,Tiago,Tata Tiago,Revotron XZA,5.8,2018-11-01,11,2018,42261.0,Petrol,23.84,Automatic,Maroon,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
4563,Mahindra,Bolero,Mahindra Bolero,SLX 2WD,5.65,2015-06-01,6,2015,72000.0,Diesel,8.6,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
1241,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Delta 1.2,7.25,2019-01-01,1,2019,14350.0,Petrol,21.4,Manual,Grey,First,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.9,3.1
1005,Hyundai,i20,Hyundai i20,Asta 1.2,3.15,2011-06-01,6,2011,95000.0,Petrol,18.86,Manual,Maroon,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2646,Toyota,Fortuner,Toyota Fortuner,2.8 4x2 MT [2016-2020],14.51,2013-06-01,6,2013,118000.0,Diesel,14.24,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4737,BMW,X5,BMW X5,xDrive 30d,38.5,2016-06-01,6,2016,85000.0,Diesel,16.45,Automatic,Brown,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
3698,Renault,Kwid,Renault Kwid,RXT [2015-2019],3.25,2015-06-01,6,2015,60000.0,Petrol,25.17,Manual,Maroon,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2250,Renault,Kiger,Renault Kiger,RXZ AMT Dual Tone,8.5,2021-01-01,1,2021,7900.0,Petrol,19.03,Automatic,Brown,UnRegistered Car,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
4099,Renault,Duster,Renault Duster,85 PS RxL,5.4,2015-06-01,6,2015,75000.0,Diesel,19.87,Manual,Silver,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
5258,MarutiSuzuki,Swift DZire,MarutiSuzuki Swift DZire,VDI,4.45,2013-10-01,10,2013,58000.0,Diesel,23.4,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
734,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi,2.8,2013-06-01,6,2013,59500.0,Petrol,20.2,Manual,Silver,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2784,BMW,6-Series GT,BMW 6-Series GT,630i Luxury Line [2018-2019],45.0,2018-06-01,6,2018,20000.0,Petrol,15.63,Automatic,Blue,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3951,Porsche,718,Porsche 718,Boxster,90.0,2018-06-01,6,2018,15000.0,Petrol,17.76,Automatic,Yellow,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
3760,Audi,A4,Audi A4,2.0 TDI Sline,12.5,2013-06-01,6,2013,90000.0,Diesel,17.39,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3015,MarutiSuzuki,Swift,MarutiSuzuki Swift,VDi ABS [2014-2017],5.5,2015-06-01,6,2015,86000.0,Diesel,25.2,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
686,Honda,Jazz,Honda Jazz,VX Diesel,5.8,2016-06-01,6,2016,64950.0,Diesel,27.3,Manual,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
5268,Volvo,S60,Volvo S60,Summum D4,12.5,2014-10-01,10,2014,101216.0,Diesel,20.4,Automatic,Black,Third,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
4255,Hyundai,i20,Hyundai i20,Sportz 1.4 CRDI,6.35,2014-06-01,6,2014,46000.0,Diesel,18.86,Manual,White,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
1089,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E250 CDI Avantgarde,17.25,2013-06-01,6,2013,60000.0,Diesel,14.2,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1096,BMW,5-Series,BMW 5-Series,520d Modern Line,22.5,2014-06-01,6,2014,60000.0,Diesel,18.48,Automatic,Gold,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
146,Audi,Q5,Audi Q5,35 TDI Technology,45.25,2018-06-01,6,2018,10000.0,Diesel,11.88,Automatic,Black,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
5194,BMW,3-Series,BMW 3-Series,330 D Convertible,30.0,2012-06-01,6,2012,20000.0,Diesel,20.38,Automatic,Black,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
494,MarutiSuzuki,Alto 800,MarutiSuzuki Alto 800,Lxi,3.37,2018-05-01,5,2018,67110.0,Petrol,22.74,Manual,Grey,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
2851,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi [2014-2019],3.05,2015-05-01,5,2015,60251.0,Petrol,24.07,Manual,Purple,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
5331,Datsun,Go Plus,Datsun Go Plus,T [2018-2019],3.4,2019-06-01,6,2019,36000.0,Petrol,19.83,Manual,Grey,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
2113,Hyundai,Grand i10,Hyundai Grand i10,Asta AT 1.2 Kappa VTVT (O) [2016-2017],4.96,2016-07-01,7,2016,39755.0,Petrol,16.95,Automatic,Silver,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
3133,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi [2014-2019],3.92,2017-05-01,5,2017,15960.0,Petrol,24.07,Manual,Black,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
923,Hyundai,Verna,Hyundai Verna,Fluidic 1.6 VTVT SX AT,6.45,2015-06-01,6,2015,58200.0,Petrol,19.41,Automatic,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2397,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,VDi+ SHVS,5.1,2016-06-01,6,2016,97000.0,Diesel,28.09,Manual,White,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
1450,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,ZDI + SHVS,11.26,2019-05-01,5,2019,23721.0,Diesel,24.52,Manual,Blue,First,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
2891,MarutiSuzuki,Eeco,MarutiSuzuki Eeco,5 STR WITH A/C+HTR [2019-2020],4.48,2019-05-01,5,2019,7018.0,Petrol,16.2,Manual,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
1794,Hyundai,Xcent,Hyundai Xcent,S 1.2 (O),3.85,2014-03-01,3,2014,82928.0,Petrol,19.1,Manual,Silver,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
192,MarutiSuzuki,S-Presso,MarutiSuzuki S-Presso,VXi Plus,4.64,2019-06-01,6,2019,20948.0,Petrol,21.7,Manual,Grey,Second,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
5212,MarutiSuzuki,Swift,MarutiSuzuki Swift,VXi,7.5,2021-06-01,6,2021,7645.0,Petrol,21.24,Manual,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
2915,Audi,A4,Audi A4,2.0 TDI Sline,16.5,2014-06-01,6,2014,60000.0,Diesel,12.55,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
2988,Tata,Tiago,Tata Tiago,Revotron XZA Plus,7.5,2020-06-01,6,2020,20849.0,Petrol,23.84,Automatic,Yellow,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
4172,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 250 CDI Edition E,32.0,2016-06-01,6,2016,45000.0,Diesel,14.2,Automatic,Brown,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
2778,Hyundai,Creta,Hyundai Creta,SX 1.6 CRDi,15.0,2018-06-01,6,2018,60000.0,Diesel,19.67,Manual,Blue,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
350,Ford,Ecosport,Ford Ecosport,Titanium 1.5L Ti-VCT,9.5,2020-06-01,6,2020,26546.0,Petrol,17.0,Manual,Silver,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
5111,Jaguar,XF,Jaguar XF,Pure Diesel CBU,36.0,2018-06-01,6,2018,19000.0,Diesel,17.22,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
800,BMW,X5,BMW X5,xDrive 30d,47.0,2017-02-01,2,2017,58000.0,Diesel,16.45,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3742,Renault,Duster,Renault Duster,110 PS RXZ 4X2 MT Diesel,4.65,2013-06-01,6,2013,85000.0,Diesel,19.6,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2797,Mercedes-Benz,S-Class,Mercedes-Benz S-Class,350,18.0,2009-06-01,6,2009,54000.0,Petrol,11.52,Automatic,Silver,Third,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
950,BMW,7-Series,BMW 7-Series,730Ld Sedan,15.5,2009-06-01,6,2009,37000.0,Diesel,14.5,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2317,Audi,A8,Audi A8,3.0 TDI quattro,12.0,2009-03-01,3,2009,47000.0,Diesel,22.69,Automatic,Black,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
4535,Renault,Kwid,Renault Kwid,RXT Opt [2015-2019],3.1,2016-06-01,6,2016,27000.0,Petrol,25.17,Manual,White,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3167,Renault,Kwid,Renault Kwid,RXT Edition,3.4,2017-05-01,5,2017,65298.0,Petrol,25.17,Manual,White,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1022,BMW,5-Series,BMW 5-Series,520d Luxury Line,22.5,2015-06-01,6,2015,74000.0,Diesel,18.12,Automatic,Brown,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2443,Kia,Seltos,Kia Seltos,GTX 1.4,14.4,2019-07-01,7,2019,20302.0,Petrol,16.1,Manual,White,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.2
1278,Mercedes-Benz,AMG A35 Limousine,Mercedes-Benz AMG A35 Limousine,4MATIC,64.8,2021-06-01,6,2021,2600.0,Petrol,17.76,Automatic,Blue,UnRegistered Car,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
3124,Honda,Brio,Honda Brio,VX MT,5.26,2017-05-01,5,2017,28491.0,Petrol,18.5,Manual,Red,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
3490,Renault,Kwid,Renault Kwid,RXT Edition,3.4,2017-05-01,5,2017,65298.0,Petrol,25.17,Manual,White,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3315,Hyundai,Elite i20,Hyundai Elite i20,Asta 1.2,5.95,2015-06-01,6,2015,58369.0,Petrol,18.6,Manual,White,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
2868,MarutiSuzuki,Eeco,MarutiSuzuki Eeco,7 STR [2019-2020],5.28,2021-05-01,5,2021,11184.0,Petrol,16.2,Manual,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3681,Mercedes-Benz,G-Class,Mercedes-Benz G-Class,G 63 AMG,138.0,2015-06-01,6,2015,18500.0,Petrol,17.76,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3094,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi,4.32,2019-05-01,5,2019,46722.0,Petrol,23.95,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
836,Mercedes-Benz,M-Class,Mercedes-Benz M-Class,ML 250 CDI,21.0,2012-06-01,6,2012,52000.0,Diesel,10.42,Automatic,Grey,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1253,Renault,Kwid,Renault Kwid,1.0 RXT [2016-2019],2.95,2016-06-01,6,2016,82000.0,Petrol,23.01,Manual,Green,First,4.5,4.5,5.0,5.0,3.9,5.0,5.0,4.7,2.3
949,Honda,City,Honda City,SV CVT,6.25,2015-09-01,9,2015,116522.0,Petrol,15.84,Automatic,Brown,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2217,Kia,Carens,Kia Carens,Premium 1.4 Petrol 7 STR,11.9,2022-04-01,4,2022,600.0,Petrol,16.2,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
4448,Hyundai,i10,Hyundai i10,Magna 1.2 Kappa2,3.26,2012-05-01,5,2012,66786.0,Petrol,20.63,Manual,White,Second,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
4501,Hyundai,i10,Hyundai i10,Magna 1.2,2.67,2010-05-01,5,2010,69459.0,Petrol,12.8,Manual,Grey,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
5322,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,ZDI + SHVS,6.5,2015-11-01,11,2015,96500.0,Diesel,24.52,Manual,Superior White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
3956,Mercedes-Benz,A-Class,Mercedes-Benz A-Class,A 180 CDI Style,14.5,2014-06-01,6,2014,117521.0,Diesel,20.06,Automatic,Silver,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
1283,Mercedes-Benz,C-Class,Mercedes-Benz C-Class,C200 Progressive,49.5,2021-07-01,7,2021,13678.0,Petrol,15.85,Automatic,White,First,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
4567,LandRover,Range Rover,LandRover Range Rover,3.0 V6 Diesel Vogue LWB,185.0,2019-06-01,6,2019,62000.0,Diesel,15.29,Automatic,Black,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
2914,Honda,Brio,Honda Brio,S MT,3.5,2012-05-01,5,2012,71000.0,Petrol,19.01,Manual,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
5335,MarutiSuzuki,Vitara Brezza,MarutiSuzuki Vitara Brezza,VDi,7.5,2017-06-01,6,2017,112000.0,Diesel,24.29,Manual,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
4822,Hyundai,Creta,Hyundai Creta,SX 1.6 CRDi Dual Tone,10.9,2018-06-01,6,2018,100000.0,Diesel,19.67,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
890,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,ZXI+,11.5,2019-06-01,6,2019,45000.0,Petrol,17.5,Manual,Blue,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
871,MarutiSuzuki,Esteem,MarutiSuzuki Esteem,VXi,98000.0,2004-06-01,6,2004,84000.0,Petrol,17.76,Manual,Silver,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2292,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,Delta 1.3 Diesel,6.25,2017-06-01,6,2017,79000.0,Diesel,28.09,Manual,Brown,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
1856,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 200,45.0,2017-06-01,6,2017,32915.0,Petrol,12.06,Automatic,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
1149,Renault,Duster,Renault Duster,85 PS RxL,5.4,2015-06-01,6,2015,75000.0,Diesel,19.87,Manual,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1101,Mercedes-Benz,M-Class,Mercedes-Benz M-Class,ML 350 CDI,27.0,2014-06-01,6,2014,65000.0,Diesel,15.26,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1147,MarutiSuzuki,Vitara Brezza,MarutiSuzuki Vitara Brezza,ZDi Plus AGS,7.98,2018-06-01,6,2018,66000.0,Diesel,24.29,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2213,Honda,WR-V,Honda WR-V,VX MT Diesel,8.9,2019-04-01,4,2019,51000.0,Diesel,25.5,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
2479,Honda,Jazz,Honda Jazz,VX Petrol,5.25,2016-09-01,9,2016,33696.0,Petrol,18.7,Manual,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
2802,Audi,Q3,Audi Q3,30 TFSI Premium,30.0,2018-06-01,6,2018,15000.0,Petrol,15.94,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
1317,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,LXi Minor,2.3,2009-06-01,6,2009,97095.0,Petrol,13.0,Manual,White,Second,4.6,4.5,5.0,5.0,3.9,4.5,5.0,4.7,2.9
343,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,VDI SHVS,11.8,2019-06-01,6,2019,90000.0,Diesel,24.52,Manual,Maroon,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
3186,MarutiSuzuki,DZire,MarutiSuzuki DZire,VXi,7.11,2019-05-01,5,2019,32397.0,Petrol,23.2,Manual,Silver,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
3389,Hyundai,Elite i20,Hyundai Elite i20,Sportz Plus 1.4 CRDi,8.5,2019-06-01,6,2019,70000.0,Diesel,22.5,Manual,Silver,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
4204,BMW,X1,BMW X1,sDrive20d xLine,36.0,2019-06-01,6,2019,15000.0,Diesel,15.06,Automatic,White,Second,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
397,Mahindra,XUV500,Mahindra XUV500,W10,12.78,2017-05-01,5,2017,65318.0,Diesel,16.0,Manual,Brown,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
3728,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Alpha 1.3,6.2,2015-06-01,6,2015,78000.0,Diesel,27.39,Manual,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4296,BMW,7-Series,BMW 7-Series,730Ld M Sport,69.99,2018-06-01,6,2018,27000.0,Diesel,11.1,Automatic,White,Second,4.5,4.6,5.0,5.0,3.9,4.5,5.0,4.7,2.5
2133,BMW,X5,BMW X5,3.0d,12.5,2010-02-01,2,2010,92200.0,Diesel,16.45,Automatic,White,Second,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
1435,Volvo,S60,Volvo S60,Cross Country Inscription [2016-2020],23.5,2017-03-01,3,2017,49216.0,Diesel,20.4,Automatic,White,First,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
3858,BMW,5-Series,BMW 5-Series,520d Luxury Line [2017-2019],62.0,2021-04-01,4,2021,8500.0,Diesel,22.48,Automatic,Blue,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,2.9
213,Toyota,Glanza,Toyota Glanza,G,7.45,2021-06-01,6,2021,11476.0,Petrol,21.01,Manual,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
2046,Hyundai,Creta,Hyundai Creta,E Plus 1.6 Petrol,10.95,2018-06-01,6,2018,24330.0,Petrol,15.29,Manual,Black,First,4.4,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.0
3560,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,200,10.5,2012-06-01,6,2012,69000.0,Petrol,12.74,Automatic,White,Third,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1010,Hyundai,Creta,Hyundai Creta,SX 1.6 CRDi,13.5,2019-06-01,6,2019,80000.0,Diesel,19.67,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4453,MarutiSuzuki,Alto 800,MarutiSuzuki Alto 800,Lxi,3.14,2017-05-01,5,2017,86740.0,Petrol,22.74,Manual,Silver,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
1964,MarutiSuzuki,Eeco,MarutiSuzuki Eeco,5 STR WITH A/C+HTR [2019-2020],4.46,2019-05-01,5,2019,15615.0,Petrol,16.2,Manual,Grey,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2903,Hyundai,Santro,Hyundai Santro,GLS,2.94,2014-05-01,5,2014,73479.0,Petrol,17.92,Manual,Black,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3845,Skoda,Laura,Skoda Laura,Ambiente 2.0 TDI CR MT,3.7,2011-06-01,6,2011,80000.0,Diesel,12.8,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3896,Renault,Kwid,Renault Kwid,1.0 RXT [2016-2019],3.95,2020-01-01,1,2020,23601.0,Petrol,23.01,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
4593,BMW,7-Series,BMW 7-Series,730Ld M Sport,109.0,2019-06-01,6,2019,16500.0,Diesel,11.1,Automatic,Blue,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
798,Mercedes-Benz,GLS,Mercedes-Benz GLS,350 d,75.0,2018-02-01,2,2018,29700.0,Diesel,11.5,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
428,Honda,Jazz,Honda Jazz,V AT Petrol,7.3,2017-05-01,5,2017,28578.0,Petrol,19.0,Automatic,Black,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
1836,Jaguar,XF,Jaguar XF,Prestige Diesel CBU,43.0,2018-06-01,6,2018,7728.0,Diesel,17.22,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
4298,MarutiSuzuki,S-Cross,MarutiSuzuki S-Cross,Zeta 1.3,8.75,2018-07-01,7,2018,88866.0,Diesel,24.0,Manual,White,First,4.4,4.5,5.0,5.0,3.6,4.5,5.0,4.7,1.7
1672,Jaguar,XF,Jaguar XF,Prestige Diesel CBU,45.0,2019-06-01,6,2019,16000.0,Diesel,17.22,Automatic,White,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
1150,Toyota,Fortuner,Toyota Fortuner,2.5 Sportivo 4x2 MT,12.9,2013-06-01,6,2013,88000.0,Diesel,12.55,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4340,MarutiSuzuki,Swift,MarutiSuzuki Swift,VDi ABS [2014-2017],5.5,2015-06-01,6,2015,86000.0,Diesel,25.2,Manual,Grey,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
1817,Kia,Seltos,Kia Seltos,GTX Plus 1.4 [2020-2021],17.5,2020-08-01,8,2020,11000.0,Petrol,16.1,Manual,Black,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2604,Kia,Sonet,Kia Sonet,GTX Plus 1.0 DCT [2020-2021],13.75,2020-12-01,12,2020,12000.0,Petrol,18.3,Automatic,Gold,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4182,Mercedes-Benz,GLS,Mercedes-Benz GLS,350 d,69.0,2017-06-01,6,2017,41000.0,Diesel,11.5,Automatic,Blue,Second,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
