,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
3974,Mercedes-Benz,GLE,Mercedes-Benz GLE,250 d,46.5,2017-06-01,6,2017,53500.0,Diesel,17.76,Automatic,White,Second,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
4711,Mercedes-Benz,M-Class,Mercedes-Benz M-Class,ML 250 CDI,19.99,2014-06-01,6,2014,83000.0,Diesel,10.42,Automatic,Brown,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
2308,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,Vxi CNG,5.4,2013-10-01,10,2013,65000.0,CNG,22.8,Manual,Blue,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.2,3.6
3691,Ford,Fiesta,Ford Fiesta,Titanium+ Diesel [2011-2014],2.5,2011-06-01,6,2011,74000.0,Diesel,23.5,Manual,Maroon,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2412,Hyundai,Grand i10,Hyundai Grand i10,Sports Edition 1.2L Kappa VTVT,4.79,2018-05-01,5,2018,9847.0,Petrol,18.9,Manual,Silver,Second,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
2211,Hyundai,Creta,Hyundai Creta,E Plus 1.4 CRDI,10.5,2018-07-01,7,2018,58900.0,Diesel,21.38,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
1188,Honda,City,Honda City,1.5 V MT,2.9,2010-06-01,6,2010,79000.0,Petrol,11.6,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3746,Mercedes-Benz,GL-Class,Mercedes-Benz GL-Class,350 CDI,35.0,2014-06-01,6,2014,84000.0,Diesel,17.76,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2675,Volkswagen,Jetta,Volkswagen Jetta,Comfortline 2.0L TDI,5.9,2012-06-01,6,2012,86000.0,Diesel,17.93,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2775,BMW,X5,BMW X5,xDrive 30d M Sport,55.0,2016-06-01,6,2016,10000.0,Diesel,15.97,Automatic,White,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3102,MarutiSuzuki,S-Presso,MarutiSuzuki S-Presso,VXi,4.48,2019-05-01,5,2019,23377.0,Petrol,21.7,Manual,Orange,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1622,Mercedes-Benz,GLE,Mercedes-Benz GLE,250 d,41.0,2017-06-01,6,2017,62000.0,Diesel,17.76,Automatic,White,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
2160,Honda,Amaze,Honda Amaze,1.2 S AT i-VTEC Opt,6.25,2017-10-01,10,2017,38600.0,Petrol,18.1,Automatic,Silver,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
